שם פרטי,שם משפחה,שם משתמש,מייל,תאריך הרשמה,תאריך עדכון אחרון,מכתב פתיחה,פרק א :סוד האושר,משימת הקרמבו - אגף המשימות,פרק ב: האנשים הגדולים,פרק ג: אני טוב,פרק ד: להוקיר את החיים,פרק ה: נעים להכיר,פרק ו: מגשימי החלומות,פרק ז: החופש הגדול,פרק ח: לרוץ עם הרצון,פרק ט: המסלול הבטוח - הרגלים,פרק י: לתת ולצמוח,פרק יא: ההחמצות,פרק יב: מה הם יודעים שאנחנו לא,פרק יג,פרק יד:הבלו-פרינט,פרק טו: למלא את החלל,פרק טז: מדיה – הסיפור האמיתי,פרק יז: מישהו לרוץ איתו,פרק יח: טיפים של אלופים,פרק יט: אמא אדמה,פרק כג: יום השחרור,פרק כה: חוזרים לשליטה,פרק כו: אין לי כוח,פרק כז: לבחור נכון,פרק כח: מה הסיפור שלי,פרק כט: תמיד מוכן
????,?????,,,2020-12-30,2020-12-30,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
kjjk,ssss,,,2021-01-01,2021-01-01,1,1,0,0,0,0,0,2,2,4,7,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
????,?????,,jer@gmail.com,2021-01-13,2021-01-13,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
,,Naama Fredman,naama141@gmail.com,2021-01-17,2021-01-17,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
יעקב,??,,,2020-12-31,2020-12-31,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
,,,,2021-01-11,2021-01-11,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
jac,????,,,2021-01-01,2021-01-01,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
????,?????,,,2020-12-19,2021-01-03,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
Jacob,aaa,,,2021-01-01,2021-01-01,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
,,,,2020-12-24,2020-12-24,1,1,0,0,2,2,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
יעקב,פרד1,,jaak411@gmail.com,2021-01-18,2021-01-18,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
,,,,2020-12-18,2020-12-18,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
?,?,,,2020-12-27,2020-12-27,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
,,,,2020-12-19,2021-01-05,1,1,0,1,0,0,2,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
????,???,,,2020-12-25,2020-12-25,1,1,0,0,0,0,0,2,2,4,0,0,0,1,3,2,0,0,0,2,0,0,0,3,2,2,0
